Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Page 11,,"Very few people know how the bottom feels, but I do. It’s like quicksand. It grabs you, sucks you under, and won’t let go. When life is like that it’s easy to drift and continue to make the same comfortable choices that are killing you, over and over again.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 12,,"But the truth is we all make habitual, self-limiting choices. It’s as natural as a sunset and as fundamental as gravity. It’s how our brains are wired, which is why motivation is crap.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 12,,"So I sought out pain, fell in love with suffering, and eventually transformed myself from the weakest piece of shit on the planet into the hardest man God ever created, or so I tell myself.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 13,,There will always be the 1 percent of us who are willing to put in the work to defy the odds.”, David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 13,,"From the time you take your first breath, you become eligible to die. You also become eligible to find your greatness and become the One Warrior.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 14,,"Because when you’re driven, whatever is in front of you, whether it’s racism, sexism, injuries, divorce, depression, obesity, tragedy, or poverty, becomes fuel for your metamorphosis.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 37,,I’ll never trust a smile or judge a scowl., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 42,,"Look, everybody learns in a different way and we’re gonna figure out how you learn.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 42,,I thought I’d solved a problem when really I was creating new ones by taking the path of least resistance., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 53,,in order to change you have to work through shit. Confront it and get real., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 59,,"Most, if not all, minorities, women, and gay people in America know that strain of loneliness well. Of walking into rooms where you are the only one of your kind. Most white men have no idea how hard it can be. I wish they did. Because then they’d know how it drains you.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 68,,"No, I had to own it in the raw because the only way we can change is to be real with ourselves.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 68,,"If you look in the mirror and you see a fat person, don’t tell yourself that you need to lose a couple of pounds. Tell the truth. You’re fucking fat! It’s okay. Just say you’re fat if you’re fat. The dirty mirror that you see every day is going to tell you the truth every time, so why are you still lying to yourself? So you can feel better for a few minutes and stay the fucking same? If you’re fat you need to change the fact that you’re fat because it’s very fucking unhealthy. I know because I’ve been there.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 68,,"If you have worked for thirty years doing the same shit you’ve hated day in and day out because you were afraid to quit and take a risk, you’ve been living like a pussy. Period, point blank. Tell yourself the truth! That you’ve wasted enough time, and that you have other dreams that will take courage to realize, so you don’t die a fucking pussy.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 69,,There is no more time to waste. Hours and days evaporate like creeks in the desert. That’s why it’s okay to be cruel to yourself as long as you realize you’re doing it to become better. We all need thicker skin to improve in life. Being soft when you look in the mirror isn’t going to inspire the wholesale changes we need to shift our present and open up our future., David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 70,,"From then on, I brainwashed myself into craving discomfort. If it was raining, I would go run. Whenever it started snowing, my mind would say, Get your fucking running shoes on. Sometimes I wussed out and had to deal with it at the Accountability Mirror. But facing that mirror, facing myself, motivated me to fight through uncomfortable experiences, and, as a result, I became tougher. And being tough and resilient helped me meet my goals.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
Highlight (Yellow),Page 72,,"when you have no confidence it becomes easy to value other people’s opinions, and I was valuing everyone’s opinion without considering the minds that generated them.", David Goggins,Can'T Hurt Me: Master Your Mind And Defy The Odds
