Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Location 210,,The ego we see most commonly goes by a more casual definition: an unhealthy belief in our own importance. Arrogance. Self-centered ambition.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 237,,"The performance artist Marina Abramović puts it directly: “If you start believing in your greatness, it is the death of your creativity.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 239,,Pursuing great work—whether it is in sports or art or business—is often terrifying. Ego soothes that fear. It’s a salve to that insecurity.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 292,,"Ego is stolen. Confidence is earned. Ego is self-anointed, its swagger is artifice.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 325,,"“abhor flatterers as you would deceivers; for both, if trusted, injure those who trust them.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 364,,"Where Sherman had once been cautious, he was now confident. But unlike so many others who possess great ambition, he earned this opinion.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 379,,"if your belief in yourself is not dependent on actual achievement, then what is it dependent on? The answer, too often when we are just setting out, is nothing. Ego.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 392,,"What we see in Sherman was a man deeply tied and connected to reality. He was a man who came from nothing and accomplished great things, without ever feeling that he was in someway entitled to the honors he received.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 397,,One might say that the ability to evaluate one’s own ability is the most important skill of all.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 397,,"Without it, improvement is impossible.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 399,,Arrogance and self-absorption inhibit growth. So does fantasy and “vision.”,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 400,,"you must practice seeing yourself with a little distance, cultivating the ability to get out of your own head. Detachment is a sort of natural ego antidote.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 403,,"For your work to have truth in it, it must come from truth. If you want to be more than a flash in the pan, you must be prepared to focus on the long term.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 410,,"Facts are better than dreams, as Churchill put it.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 415,,Those who know do not speak. Those who speak do not know.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 428,,It’s clear what happened: his talk got out ahead of his campaign and the will to bridge the gap collapsed.,Ryan Holiday,Ego Is The Enemy
