"Your Kindle Notes For:",,,
"NEVER SPLIT THE DIFFERENCE: NEGOTIATING AS IF YOUR LIFE DEPENDED ON IT",,,
"by Chris Voss, Tahl Raz",,,
"Free Kindle instant preview:",,,
"http://a.co/aoDSCtX",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 245","","using an apology and his first name, seeding more warmth into the interaction in order to complicate his gambit to bulldoze me."
"Highlight (Yellow)","Location 249","","one of the FBI’s most potent negotiating tools: the open-ended question."
"Highlight (Yellow)","Location 316","","“It’s a passive-aggressive approach. I just ask the same three or four open-ended questions over and over and over and over. They get worn out answering and give me everything I want.”"
"Highlight (Yellow)","Location 392","","Framing Effect, which demonstrates that people respond differently to the same choice depending on how it is framed (people place greater value on moving from 90 percent to 100 percent—high probability to certainty—than from 45 percent to 55 percent, even though they’re both ten percentage points)."
"Highlight (Yellow)","Location 395","","Prospect Theory explains why we take unwarranted risks in the face of uncertain losses."
"Highlight (Yellow)","Location 395","","Loss Aversion, which shows how people are statistically more likely to act to avert a loss than to achieve an equal gain."
"Highlight (Yellow)","Location 441","","What were needed were simple psychological tactics and strategies that worked in the field to calm people down, establish rapport, gain trust, elicit the verbalization of needs, and persuade the other guy of our empathy."
"Highlight (Yellow)","Location 449","","It all starts with the universally applicable premise that people want to be understood and accepted. Listening is the cheapest, yet most effective concession we can make to get there. By listening intensely, a negotiator demonstrates empathy and shows a sincere desire to better understand what the other side is experiencing."
"Highlight (Yellow)","Location 472","","Negotiation serves two distinct, vital life functions—information gathering and behavior influencing—and includes almost any interaction where each party wants something from the other side."
"Highlight (Yellow)","Location 489","","Effective negotiation is applied people smarts, a psychological edge in every domain of life: how to size someone up, how to influence their sizing up of you, and how to use that knowledge to get what you want."
"Highlight (Yellow)","Location 584","","Your goal at the outset is to extract and observe as much information as possible."
"Highlight (Yellow)","Location 589","","Great negotiators are able to question the assumptions that the rest of the involved players accept on faith or in arrogance, and thus remain more emotionally open to all possibilities, and more intellectually agile to a fluid situation."
"Highlight (Yellow)","Location 595","","be aware of a counterpart’s overuse of personal pronouns—we/they or me/I. The less important he makes himself, the more important he probably is (and vice versa)."
"Highlight (Yellow)","Location 618","","In some standoffs, we had as many as five people on the line, analyzing the information as it came in, offering behind-the-scenes input and guidance to our man on the phone—and that’s how we were set up here."
"Highlight (Yellow)","Location 633","","everyone just listening to the voice in their head (and not well, because they’re doing seven or eight other things at the same time). It may look like there are only two people in a conversation, but really it’s more like four people all talking at once."
"Highlight (Yellow)","Location 639","","The goal is to identify what your counterparts actually need (monetarily, emotionally, or otherwise) and get them feeling safe enough to talk and talk and talk some more about what they want."
"Highlight (Yellow)","Location 642","","But neither wants nor needs are where we start; it begins with listening, making it about the other people, validating their emotions, and creating enough trust and safety for a real conversation to begin."
"Highlight (Yellow)","Location 666","","Going too fast is one of the mistakes all negotiators are prone to making."
"Highlight (Yellow)","Location 693","","The best way to describe the late-night FM DJ’s voice is as the voice of calm and reason."
"Highlight (Yellow)","Location 703","","That’s why your most powerful tool in any verbal communication is your voice."
"Highlight (Yellow)","Location 718","","When people are in a positive frame of mind, they think more quickly, and are more likely to collaborate and problem-solve (instead of fight and resist). It applies to the smile-er as much as to the smile-ee: a smile on your face, and in your voice, will increase your own mental agility."
"Highlight (Yellow)","Location 751","","Mirroring, also called isopraxism, is essentially imitation. It’s another neurobehavior humans (and other animals) display in which we copy each other to comfort each other. It can be done with speech patterns, body language, vocabulary, tempo, and tone of voice."
"Highlight (Yellow)","Location 892","","It’s just four simple steps:         1.      Use the late-night FM DJ voice.         2.      Start with “I’m sorry . . .”         3.      Mirror.         4.      Silence. At least four seconds, to let the mirror work its magic on your counterpart.         5.      Repeat."
